Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
betaxolol hydrocholride,Betaxolol,Apply twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bevacizumab,Bevacizumab,"5–10 mg/kg every 14 days
Or 7.5–15 mg/kg every 3 weeks
Dose varies according to indication
Consult local protocol","20–50	Use with caution. See 'Other information'.
10–20	Use with caution. See 'Other information'.
<10	Use with caution. See 'Other information'."
bexarotene,Bexarotene,300mg/m2 daily as a single dose,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. See 'Other information'."
bezafibrate,Bezafibrate,"200 mg, 3 times a day
Modified release: 400 mg daily","40–60	400 mg daily.
15–40	200 mg every 24–48 hours.
<15	Avoid."
bezlotoxumab,Bezlotoxumab,Single dose of 10 mg/kg,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bicalutamide,Bicalutamide,"50–150 mg daily
(with orchidectomy or gonadorelin therapy)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bilastine,Bilastine,20 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bisacodyl,Bisacodyl,"Oral: 5–10 mg at night, increasing to 20 mg at night if required
Rectal: 10 mg in the morning
Bowel evacuation: 10 mg orally in the morning and 10 mg at night the day before the procedure followed by 10 mg as suppositories the next morning","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bisoprolol fumarate,Bisoprolol,"5–20 mg daily
Heart failure: 1.25 mg daily increasing to 10 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bivalirudin,Bivalirudin,"PCI: Initially bolus of 750 mcg/kg then an infusion of 1.75 mg/kg/hour
Unstable angina or non-ST elevation MI: 100 mcg/ kg bolus then 250 mcg/kg/hour – see product literature","30–59	Normal bolus dose. Reduce infusion to
1.4 mg/kg/hour.
<30	Normal bolus dose then reduce infusion to 1 mg/kg/hour. See 'Other information'."
bleomycin,Bleomycin,"Squamous cell carcinoma and testicular teratoma:
range 45–60 x 103 IU per week IM/IV (total cumulative dose up to 500 x 103 IU)
OR, continuous IV infusion 15 x 103 IU/24 hours for up to 10 days
OR, 30 x 103 IU/24 hours for up to 5 days Malignant lymphomas:
15–30 x 103 IU/week IM to total dose of 225
x 103 IU Lower doses required in combination chemotherapy.
Malignant effusions:
60 x 103 IU in 100 mL sodium chloride 0.9% intrapleurally (total cumulative dose of 500 x 103 IU)","	
30–50	Dose as in normal renal function.
10–30	75% of normal dose (100% for malignant effusions).
<10	50% of normal dose (100% for malignant effusions)."
boceprevir,Boceprevir,800 mg three times a day with food,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bortezomib,Bortezomib,"1.3 mg/m2 twice weekly for 2 weeks (days 1, 4, 8 and 11) followed by a 10 day rest period","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
Monitor carefully. See 'Other information'.
<10	A reduced dose may be required.
Monitor carefully."
bosentan,Bosentan,"PAH: 62.5–250 mg twice daily
Systemic sclerosis: 62.5–125 mg twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bosutinib,Bosutinib,500–600 mg once daily,"30–50	400–500 mg once daily.
<30	300–400 mg once daily."
brentuximab vedotin,Brentuximab,"1.8 mg/kg every 3 weeks


APD/CAPD	Unlikely to be dialysed. Dose as in
GFR<10 mL/min.
HD	Not dialysed. Dose as in GFR<10 mL/ min.
HDF/High flux Unlikely to be dialysed. Dose as in

Maximum weight calculation 100 kg","20–50	Initial dose 1.2 mg/kg. Use with caution.
10–20	Initial dose 1.2 mg/kg. Use with caution.
<10	Initial dose 1.2 mg/kg. Use with caution."
brivaracetam,Brivaracetam,25–100 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
brodalumab,Brodalumab,"210 mg at weeks 0, 1 and 2 and then 210 mg every 2 weeks",20–50	Dose as in normal renal function. Use
bromocriptine,Bromocriptine,"Parkinson’s disease:
Week 1: 1–1.25 mg at night
Week 2: 2–2.5 mg at night
Week 3: 2.5 mg twice daily
Week 4: 2.5 mg, 3 times daily
then increasing by 2.5 mg every 3–14 days according to response – usual range 10–30 mg daily
Hypogonadism / galactorrhoea, infertility: 1–1.25 mg at night, increased gradually; usual dose 7.5 mg daily in divided doses (maximum 30 mg daily);
Infertility without hyperprolactinaemia: 2.5 mg twice daily
Cyclical benign breast disease and cyclical menstrual disorders: 1–1.25 mg at night increased gradually; usual dose 2.5 mg twice daily
Acromegaly: 1–1.25 mg at night increased gradually to 5 mg every 6 hours
Prolactinoma: 1–1.25 mg at night increased gradually to 5 mg every 6 hours (maximum 30 mg daily)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
budesonide,Budesonide,"Inhaler / Turbohaler: 200–1600 micrograms daily in divided doses
Respules: 1–2 mg twice daily; half doses for maintenance
Nasal spray: depends on preparation.
Topical preparations: apply 1–2 times daily Crohn's disease:
Capsules: 3 mg, 3 times a day, CR: 9 mg once daily
Enema: 2 mg/100 mL at bedtime
Autoimmune hepatitis (oral): 3 mg three times daily, maintenance 3 mg twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bumetanide,Bumetanide,"Oral: 1–10 mg daily, may be given in 2 divided doses.
Injection: IV 1–2 mg repeated after 20 minutes; IM if necessary, 1 mg then adjust according to response.
IV infusion: 2–5 mg over 30–60 minutes","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
buprenorphine,Buprenorphine,"Sublingual: 200–400 mcg every 6–8 hours IM, Slow IV: 300–600 mcg every 6–8 hours Transdermal:
Transtec: 35–140 mcg/hour every 96 hours
Butrans: 5–40 mcg/hour, change patch every 7 days
Hapoctasin: 35–70 mcg/hour, change patch every 72 hours
Opioid dependence (SL): 12–24 mg daily, maximum 32 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function but avoid very large doses.
<10	Reduce dose by 25–50% initially and increase as tolerated; avoid very large single doses. Transdermal: dose as in normal renal function."
bupropion hydrochloride (amfebutamone hcl),Bupropion,"150 mg once daily for 6 days, then twice daily","20–50	150 mg daily.
10–20	150 mg daily.
<10	150 mg daily."
bupropion hydrochloride (amfebutamone hcl),Amfebutamone,"150 mg once daily for 6 days, then twice daily","20–50	150 mg daily.
10–20	150 mg daily.
<10	150 mg daily."
buserelin,Buserelin,"Prostate cancer: 500 mcg every 8 hours for 7 days SC then intranasally 1 spray into each nostril 6 times daily
Endometriosis: 150 mcg is sprayed into each nostril three times daily
Pituitary desensitisation in preparation for ovulation induction regimens using gonadotrophins: Intranasally: 600 mcg daily in 4 divided doses
SC: 200–500 mcg daily as a single injection","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function.
Monitor closely."
buspirone hydrochloride,Buspirone,Initially 5 mg 2–3 times daily. Usual range 15–30 mg daily in divided doses (maximum 45 mg daily).,"20–50	Start at a low dose and give twice daily.
10–20	Start at a low dose and give twice daily.
<10	Reduce by 25–50% if patient is anuric."
busulfan,Busulfan,"Oral:
Chronic myeloid leukaemia: 60 mcg/kg daily (maximum 4 mg daily); maintenance: 0.5–2 mg daily
Polycythaemia vera: 4–6 mg daily; maintenance: 2–3 mg daily
Essential thrombocythaemia and myelofibrosis: 2–4 mg daily
IV infusion:
Conditioning before bone marrow transplantation:
0.8 mg/kg every 6 hours over 4 days for 16 doses","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
cabazitaxel,Cabazitaxel,25 mg/m2 every 3 weeks,"30–50	Dose as in normal renal function.
15–30	Dose as in normal renal function.
<15	Dose as in normal renal function."
cabergoline,Cabergoline,"Parkinson’s disease: 1–3 mg daily
Hyperprolactinaemic disorders: 0.25–2 mg weekly
Inhibition of lactation: single 1 mg dose during first day post partum
Suppression of lactation: 0.25 mg twice a day for 2 days","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
cabozantinib,Cabozantinib,"Cabometyx®: 60 mg once daily
Cometriq®: 140 mg once daily","30–50	Dose as in normal renal function.
<30	Use with caution. See 'Other information'."
calcitonin (salmon) / salcatonin,Calcitonin,"Hypercalcaemia of malignancy: 100–400 units every 6–8 hours (SC/IM); in severe or emergency situation, up to 10 units/kg by IV infusion.
Paget’s disease of bone: 50 units 3 times a week to 100 units daily (SC/IM).
Prevention of acute bone loss due to sudden immobility: 100 units daily in 1–2 divided doses for 2–4 weeks then reduce to 50 units daily until fully mobile (SC/IM).","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
calcitriol,Calcitriol,"Dose in normal renal function
Orally: 250 nanograms daily or on alternate days, increased if necessary in steps of 250 nanograms at intervals of 2–4 weeks. Usual dose 0.5–1 micrograms daily.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
calcium acetate,Calcium acetate,"1–4 tablets, 3 times daily","20–50	Dose as in normal renal function.
Titrate to response.
10–20	Dose as in normal renal function.
Titrate to response.
<10	Dose as in normal renal function.
Titrate to response."
calcium carbonate,Calcium carbonate,Dose adjusted according to serum phosphate and calcium levels.,"20–50	Dose as in normal renal function.
Titrate to response.
10–20	Dose as in normal renal function.
Titrate to response.
<10	Dose as in normal renal function.
Titrate to response."
calcium gluconate,Calcium gluconate,"Depending on indication
Acute hypocalcaemia: 10–20 mL calcium gluconate 10% (2.25–4.5 mmol calcium) slow IV injection over 3–10 minutes.
Oral: Dose varies depending on requirements.","20–50	Dose as in normal renal function.
Titrate to response.
10–20	Dose as in normal renal function.
Titrate to response.
<10	Dose as in normal renal function.
Titrate to response."
calcium resonium,Calcium resonium,"Oral: 15 g 3–4 times daily in water
PR: 30 g in methylcellulose solution retained for 9 hours","20–50	Dose as in normal renal function.
Titrate to response.
10–20	Dose as in normal renal function.
Titrate to response.
<10	Dose as in normal renal function.
Titrate to response."
canagliflozin,Canagliflozin,100–300 mg once daily,">60	Dose as in normal renal function.
45–60	See 'Other information'.
<45	Avoid."
candesartan cilexetil,Candesartan,2–32 mg daily,"20–50	Dose as in normal renal function.
10–20	Initial dose 2 mg and increase according to response.
<10	Initial dose 2 mg and increase according to response."
cangrelor,Cangrelor,30 mcg/kg bolus followed by 4 mcg/kg/min IV infusion,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
capecitabine,Capecitabine,"Monotherapy, also combination therapy in breast cancer: 1.25 g/m2 twice daily for 14 days, repeated after 7 days
Combination therapy for colon, rectal or gastric cancer: 800–1000 mg/m2 twice daily for 14 days, repeated after 7 days
Or 625 mg/m2 twice daily continuously","30–50	75% of 1.2g/m2 dose (950 mg/m2 twice daily). Use with care.
10–30	Avoid.
<10	Avoid."
capreomycin,Capreomycin,"Deep IM injection: 1 g daily (not more than 20 mg/kg) for 2–4 months, then 1 g 2–3 times each week","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	1 g every 48 hours."
captopril,Captopril,"6.25–50 mg 2–3 times daily
Diabetic nephropathy: 75–100 mg daily in divided doses","20–50	Start low – adjust according to response.
10–20	Start low – adjust according to response.
<10	Start low – adjust according to response."
carbamazepine,Carbamazepine,"Dose in normal renal function
Epilepsy: initially 100–200 mg 1–2 times daily, increased to maintenance of 0.4–1.2 g daily in divided doses; maximum 1.6–2 g daily.
Rectal: maximum 1 g daily in 4 divided doses for up to 7 days use.
Trigeminal neuralgia: Initially 100 mg 1–2 times daily; usual dose 200 mg 3–4 times daily; maximum
1.6 g/day; reduce dose gradually as pain goes into
Prophylaxis in manic-depressive illness: 400–600 mg daily in divided doses, maximum 1.6 g/day.	
Alcohol withdrawal: 800 mg daily in divided doses reducing to 200 mg daily over 5 days.
Diabetic neuropathy: 100 mg 1-2 times daily increasing according to response, usual dose 200 mg 3-4 times daily, max 1.6 g daily.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
carbimazole,Carbimazole,5–60 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
