virkestoff,atckode,varenavn
pyridoksin (vit b6),A11HA02,benadon
pyridoksin (vit b6),A11HA02,pyridoksin sa
pyridoksin (vit b6),A11HA02,b6-vicotrat
tokoferol (vit e),A11HA03,vitamin e euromedica
tokoferol (vit e),A11HA03,vitamin e
tokoferol (vit e),A11HA03,bio-e-vitamin
riboflavin (vit b2),A11HA04,b2 riboflavin windmill
riboflavin (vit b2),A11HA04,riboflavin solgar
biotin,A11HA05,biotin sa
biotin,A11HA05,biotin
biotin,A11HA05,bio-h-tin vitamin h
biotin,A11HA05,biotin solgar
pyridoksalfosfat,A11HA06,p5p50 pure encaps
pyridoksalfosfat,A11HA06,pyridoxal-5-phosphate douglas
tokofersolan,A11HA08,vedrop
kombinasjoner av vitaminer,A11JA,ketovite liquid
"vitaminer, andre kombinasjoner",A11JC,preservision areds 2
"vitaminer, andre kombinasjoner",A11JC,preservision areds 2
kalsiumglukonat,A12AA03,calciumgluconat braun
kalsiumglukonat,A12AA03,calcium gluconate braun
kalsiumglukonat,A12AA03,calciumgluconat specific
kalsiumkarbonat,A12AA04,calcium al
kalsiumkarbonat,A12AA04,calcium
kalsiumlaktoglukonat,A12AA06,calcium sandoz
kalsiumlaktoglukonat,A12AA06,calcium-sandoz forte
kalsiumsitrat,A12AA13,calcium citrate windmill
"kalsium, blanding av salter",A12AA20,calcium-sandoz
"kalsium, kombinasjoner med vitamin d og/eller andre midler",A12AX,calcigran forte
"kalsium, kombinasjoner med vitamin d og/eller andre midler",A12AX,nycoplus calcigran forte
"kalsium, kombinasjoner med vitamin d og/eller andre midler",A12AX,ideos
"kalsium, kombinasjoner med vitamin d og/eller andre midler",A12AX,bencium
"kalsium, kombinasjoner med vitamin d og/eller andre midler",A12AX,calcigran forte sitron
"kalsium, kombinasjoner med vitamin d og/eller andre midler",A12AX,kalcipos-vitamin d
"kalsium, kombinasjoner med vitamin d og/eller andre midler",A12AX,calcium citrate now
kaliumklorid,A12BA01,kaleorid
kaliumklorid,A12BA01,kaliumklorid sa
kaliumklorid,A12BA01,kaliumklorid orifarm
kaliumsitrat,A12BA02,urocit
kaliumsitrat,A12BA02,potassium citrate and citric acid
kaliumsitrat,A12BA02,urocit-k
kaliumsitrat,A12BA02,kalium verla
kaliumsitrat,A12BA02,kajos
kaliumsitrat,A12BA02,acalka pharmaprim
"kalium, ulike salter i kombinasjon",A12BA30,sibnayal
"kalium, ulike salter i kombinasjon",A12BA30,kalium hausmann
natriumklorid,A12CA01,natriumklorid evolan
natriumklorid,A12CA01,natriumklorid abboxia
natriumklorid,A12CA01,natriumklorid abcur
natriumklorid,A12CA01,salttabletter naf
sinksulfat,A12CB01,solvezink
magnesium,A12CC,maglyphos
magnesiumsitrat,A12CC04,magnesium diasporal
magnesiumoksid,A12CC10,magnesiumoksid sa
magnesiumoksid,A12CC10,magnesium diasporal
"magnesium, blanding av salter",A12CC30,nycoplus magnesium 120 mg
diverse mineralmidler,A12CX,fosfat sa
diverse mineralmidler,A12CX,lithium orotate
anabole steroider,A14A,pregnenolone allergy research group
anabole steroider,A14A,pregnenolone karuna
anabole steroider,A14A,pregnenolone douglas
prasteron,A14AA07,dhea douglas
prasteron,A14AA07,dhea life extension
prasteron,A14AA07,7-keto dhea pure encaps
oksandrolon,A14AA08,oxandrolone par pharm
nandrolon,A14AB01,deca-durabolin
aminosyrer og derivater,A16AA,glycine douglas
aminosyrer og derivater,A16AA,l-citrullin sa
aminosyrer og derivater,A16AA,l-ornithine now
aminosyrer og derivater,A16AA,l-methionine douglas
aminosyrer og derivater,A16AA,l-ornithine douglas
levokarnitin,A16AA01,l-carnitine now
levokarnitin,A16AA01,l-carnipure megamax
levokarnitin,A16AA01,carnitene nordic prime
levokarnitin,A16AA01,max-carnitine douglas
levokarnitin,A16AA01,l-carn
levokarnitin,A16AA01,biocarn euromedica
levokarnitin,A16AA01,levokarnitin sa
levokarnitin,A16AA01,carnitor
levokarnitin,A16AA01,carnitene
levokarnitin,A16AA01,carnicor
levokarnitin,A16AA01,carnitene cd pharma
levokarnitin,A16AA01,carnitene specific
levokarnitin,A16AA01,l-carnitin gph
levokarnitin,A16AA01,biocarn
glutamin,A16AA03,l-glutamin
merkaptamin,A16AA04,cystagon
merkaptamin,A16AA04,procysbi
kargluminsyre,A16AA05,carbaglu
kargluminsyre,A16AA05,ucedane
betain,A16AA06,cystadane
metreleptin,A16AA07,myalepta
imiglukerase,A16AB02,cerezyme
agalsidase alfa,A16AB03,replagal
agalsidase beta,A16AB04,fabrazyme
laronidase,A16AB05,aldurazyme
alglukosidase alfa,A16AB07,myozyme
galsulfase,A16AB08,naglazyme
idursulfase,A16AB09,elaprase
velaglukerase alfa,A16AB10,vpriv
elosulfase alfa,A16AB12,vimizim
asfotase alfa,A16AB13,strensiq
sebelipase alfa,A16AB14,kanuma
velmanase alfa,A16AB15,lamzede
olipudase alfa,A16AB25,xenpozyme
tioktinsyre,A16AX01,alpha lipoic acid pure encaps
tioktinsyre,A16AX01,alpha lipoic acid swanson
tioktinsyre,A16AX01,alpha lipoic acid source naturals
tioktinsyre,A16AX01,alpha lipoic sustain
tioktinsyre,A16AX01,alpha lipoic acid douglas
tioktinsyre,A16AX01,lipoic acid vital nutrients
natriumfenylbutyrat,A16AX03,ambutyrate
natriumfenylbutyrat,A16AX03,ammonaps
natriumfenylbutyrat,A16AX03,pheburane
nitisinon,A16AX04,orfadin
nitisinon,A16AX04,nitisinone dipharma
sinkacetat,A16AX05,wilzin
miglustat,A16AX06,miglustat genorph
miglustat,A16AX06,zavesca
miglustat,A16AX06,miglustat bluefish
sapropterin,A16AX07,kuvan
sapropterin,A16AX07,sapropterin teva
teduglutid,A16AX08,revestive
glyserolfenylbutyrat,A16AX09,ravicti
eliglustat,A16AX10,cerdelga
natriumbenzoat,A16AX11,natriumbenzoat sa
trientin,A16AX12,cuprior
trientin,A16AX12,trientine tillomed
trientin,A16AX12,cufence
migalastat,A16AX14,galafold
telotristat,A16AX15,xermelo
dikumarol,B01AA01,dicoumarol glostrup
warfarin,B01AA03,aldocumar
warfarin,B01AA03,marevan
warfarin,B01AA03,warfarin sodium rosemont
warfarin,B01AA03,warfarin orion
warfarin,B01AA03,marevan u/farge
acenokumarol,B01AA07,sintrom
heparin,B01AB01,heparin leo
heparin,B01AB01,heparin gilvasan
heparin,B01AB01,heparin gilvasan life
heparin,B01AB01,heparin sa
heparin,B01AB01,heparin wockhardt u/kons
heparin,B01AB01,heparin panpharma
heparin,B01AB01,heparin sa u/kons
heparin,B01AB01,heparin-natrium-5000-ratiopharm
heparin,B01AB01,heparin leo
antitrombin iii,B01AB02,atenativ
dalteparin,B01AB04,fragmin
enoksaparin,B01AB05,klexane
klopidogrel,B01AC04,grepid
klopidogrel,B01AC04,plavix
klopidogrel,B01AC04,clopidogrel aristo
klopidogrel,B01AC04,clopidogrel medical valley
klopidogrel,B01AC04,clopidogrel viatris
klopidogrel,B01AC04,clopidogrel accord
klopidogrel,B01AC04,clopidogrel zentiva
acetylsalisylsyre,B01AC06,aspirin accord
acetylsalisylsyre,B01AC06,aspirin bristol
acetylsalisylsyre,B01AC06,aspirin aspar
acetylsalisylsyre,B01AC06,kardegic
acetylsalisylsyre,B01AC06,coxor
acetylsalisylsyre,B01AC06,hjertemagnyl
acetylsalisylsyre,B01AC06,albyl-e
acetylsalisylsyre,B01AC06,acetylsalisylsyre actavis
dipyridamol,B01AC07,aponova
dipyridamol,B01AC07,persantin
epoprostenol,B01AC09,veletri
iloprost,B01AC11,ventavis
iloprost,B01AC11,ilomedin
eptifibatid,B01AC16,integrilin
eptifibatid,B01AC16,eptifibatide accord
treprostinil,B01AC21,tresuvi
treprostinil,B01AC21,remodulin
prasugrel,B01AC22,prasugrel krka
prasugrel,B01AC22,efient
tikagrelor,B01AC24,brilique
kangrelor,B01AC25,kengrexal
seleksipag,B01AC27,uptravi
kombinasjoner,B01AC30,diprasorin
streptokinase,B01AD01,streptokinase biofactor
alteplase,B01AD02,alteplase sa
alteplase,B01AD02,actilyse
tenekteplase,B01AD11,metalyse
tenekteplase,B01AD11,tnkase
argatroban,B01AE03,novastan
dabigatran eteksilat,B01AE07,pradaxa
rivaroksaban,B01AF01,xarelto
apiksaban,B01AF02,eliquis
edoksaban,B01AF03,lixiana
defibrotid,B01AX01,defitelio
fondaparinuks,B01AX05,arixtra
kaplacizumab,B01AX07,cablivi
traneksamsyre,B02AA02,cyklokapron
traneksamsyre,B02AA02,tracafour
traneksamsyre,B02AA02,tranexamic acid stragen
traneksamsyre,B02AA02,pilexam
aprotinin,B02AB01,trasylol
alfa-1-antitrypsin,B02AB02,respreeza
alfa-1-antitrypsin,B02AB02,prolastina
fytomenadion,B02BA01,ka-vit unimedic
fytomenadion,B02BA01,konakion novum
fytomenadion,B02BA01,konakion mm
fytomenadion,B02BA01,vitacon
fytomenadion,B02BA01,konakion novum
fytomenadion,B02BA01,ka-vit euromedica
fytomenadion,B02BA01,ka-vit
fytomenadion,B02BA01,menadion specific
fytomenadion,B02BA01,konakion orifarm
"fibrinogen, human",B02BB01,riastap
"fibrinogen, human",B02BB01,fibryga
trombin,B02BC06,thrombin-jmi
kombinasjoner,B02BC30,artiss
kombinasjoner,B02BC30,tisseel
kombinasjoner,B02BC30,veraseal
kombinasjoner,B02BC30,tachosil
blodkoagulasjonsfaktorer,B02BD,factor x p behring
"koagulasjonsfaktor ix, ii, vii og x i kombinasjon",B02BD01,octaplex 1000 ie
"koagulasjonsfaktor ix, ii, vii og x i kombinasjon",B02BD01,confidex
"koagulasjonsfaktor ix, ii, vii og x i kombinasjon",B02BD01,octaplex 500 ie
"koagulasjonsfaktor ix, ii, vii og x i kombinasjon",B02BD01,prothromplex
koagulasjonsfaktor viii,B02BD02,refacto af
koagulasjonsfaktor viii,B02BD02,adynovi
koagulasjonsfaktor viii,B02BD02,octanate
koagulasjonsfaktor viii,B02BD02,kovaltry
koagulasjonsfaktor viii,B02BD02,novoeight
koagulasjonsfaktor viii,B02BD02,advate
koagulasjonsfaktor viii,B02BD02,afstyla
koagulasjonsfaktor viii,B02BD02,jivi
koagulasjonsfaktor viii,B02BD02,elocta
koagulasjonsfaktor viii,B02BD02,nuwiq
koagulasjonsfaktor viii,B02BD02,esperoct
faktor viii-inhibitor bypass-aktivitet,B02BD03,feiba
koagulasjonsfaktor ix,B02BD04,octanine
koagulasjonsfaktor ix,B02BD04,idelvion
koagulasjonsfaktor ix,B02BD04,refixia
koagulasjonsfaktor ix,B02BD04,alprolix
koagulasjonsfaktor ix,B02BD04,rixubis
koagulasjonsfaktor ix,B02BD04,immunine
koagulasjonsfaktor ix,B02BD04,benefix
von willebrand faktor og  koagulasjonsfaktor viii i kombinasjon,B02BD06,haemate
von willebrand faktor og  koagulasjonsfaktor viii i kombinasjon,B02BD06,wilate
koagulasjonsfaktor xiii,B02BD07,cluvot
koagulasjonsfaktor viia,B02BD08,novoseven
von willebrand faktor,B02BD10,veyvondi
katridekakog,B02BD11,novothirteen
susoktokog alfa,B02BD14,obizur
romiplostim,B02BX04,nplate
eltrombopag,B02BX05,revolade
emicizumab,B02BX06,hemlibra
avatrombopag,B02BX08,doptelet
fostamatinib,B02BX09,tavlesse
jern(ii)glycinsulfat,B03AA01,ferro sanol
jern(ii)glycinsulfat,B03AA01,niferex
jern(ii)sulfat,B03AA07,nycoplus ferro-retard
jern(ii)sulfat,B03AA07,ferromax
jern(ii)sulfat,B03AA07,duroferon
ferrimaltol,B03AB10,feraccru
"jern, injeksjonsmidler",B03AC,venofer
"jern, injeksjonsmidler",B03AC,diafer
"jern, injeksjonsmidler",B03AC,cosmofer
"jern, injeksjonsmidler",B03AC,ferrlecit
"jern, injeksjonsmidler",B03AC,monofer
"jern, injeksjonsmidler",B03AC,ferinject
vitamin b12  (cyanokobalamin og analoger),B03BA,liposomal b12/methylfolate
cyanokobalamin,B03BA01,vitamin b12
cyanokobalamin,B03BA01,betolvidon
cyanokobalamin,B03BA01,betolvex
cyanokobalamin,B03BA01,b12 ankermann
cyanokobalamin,B03BA01,behepan
hydroksokobalamin,B03BA03,vitamin b12 depot orifarm
hydroksokobalamin,B03BA03,vitamin b12 depot panpharma
hydroksokobalamin,B03BA03,hydroxocobalamine sterop
mekobalamin,B03BA05,methyl b12
mekobalamin,B03BA05,mekobalamin apl
folsyre og derivater,B03BB,methyl folate
folsyre,B03BB01,folsyre naf
folsyre,B03BB01,folsan
folsyre,B03BB01,folsyre orifarm
folsyre,B03BB01,folimet
erytropoietin,B03XA01,retacrit
darbepoetin alfa,B03XA02,aranesp
metoksipolyetylenglykolepoetin beta,B03XA03,mircera
roksadustat,B03XA05,evrenzo
luspatercept,B03XA06,reblozyl
albumin,B05AA01,albunorm
albumin,B05AA01,alburex
albumin,B05AA01,flexbumin
albumin,B05AA01,albumin baxalta
andre plasmaproteinfraksjoner,B05AA02,octaplasma
dekstran,B05AA05,rescueflow
gelatinforbindelser,B05AA06,gelaspan
aminosyrer,B05BA01,vamin 18 g n/l elektrolyttfri
aminosyrer,B05BA01,vamin 14 g n/l elektrolyttfri
aminosyrer,B05BA01,vaminolac
fettemulsjoner,B05BA02,smoflipid
fettemulsjoner,B05BA02,omegaven
fettemulsjoner,B05BA02,intralipid
fettemulsjoner,B05BA02,clinoleic
karbohydrater,B05BA03,glucos fresenius kabi
karbohydrater,B05BA03,glukose b. braun
karbohydrater,B05BA03,glukos fresenius kabi
karbohydrater,B05BA03,glucos baxter viaflo
karbohydrater,B05BA03,glucos. b. braun
karbohydrater,B05BA03,glucos fresenius kabi
karbohydrater,B05BA03,glucos baxter viaflo
kombinasjoner,B05BA10,smofkabiven extra nitrogen electrolyte free
kombinasjoner,B05BA10,numeta g13e
kombinasjoner,B05BA10,termin parenteral ernæring sa
kombinasjoner,B05BA10,olimel n12e
kombinasjoner,B05BA10,numeta g19e
kombinasjoner,B05BA10,kabiven perifer
kombinasjoner,B05BA10,numeta g16e
kombinasjoner,B05BA10,olimel n7e
kombinasjoner,B05BA10,lipoflex peri
kombinasjoner,B05BA10,nutriflex omega peri
kombinasjoner,B05BA10,nutriflex omega plus
kombinasjoner,B05BA10,termin fettfri parenteral ernæring sa
kombinasjoner,B05BA10,olimel n9e
kombinasjoner,B05BA10,prematur parenteral ernæring sa
kombinasjoner,B05BA10,standard parenteral ernæring sa 10-15kg
kombinasjoner,B05BA10,smofkabiven elektrolytfri
kombinasjoner,B05BA10,standard parenteral ernæring sa 15-40kg
kombinasjoner,B05BA10,lipoflex special
kombinasjoner,B05BA10,olimel n12
kombinasjoner,B05BA10,nutriflex omega special elektrolytfri
kombinasjoner,B05BA10,smofkabiven perifer
kombinasjoner,B05BA10,smofkabiven
kombinasjoner,B05BA10,nutriflex omega special
kombinasjoner,B05BA10,finomel
kombinasjoner,B05BA10,finomel perifer
kombinasjoner,B05BA10,olimel perifer n4e
kombinasjoner,B05BA10,olimel n9
kombinasjoner,B05BA10,smofkabiven extra nitrogen
kombinasjoner,B05BA10,lipoflex plus
kombinasjoner,B05BA10,olimel n5e
kombinasjoner,B05BA10,kabiven
elektrolytter,B05BB01,plasmalyte
elektrolytter,B05BB01,ringer-acetat baxter viaflo
elektrolytter,B05BB01,bicarbonate de sodium cooper
elektrolytter,B05BB01,natriumklorid b. braun
elektrolytter,B05BB01,natriumhydrogenkarbonat braun
elektrolytter,B05BB01,natriumklorid baxter viaflo
elektrolytter,B05BB01,natriumklorid sa
elektrolytter,B05BB01,ringer-acetat-lösung braun
elektrolytter,B05BB01,ringer-acetat fresenius kabi
elektrolytter,B05BB01,natriumhydrogencarbonat
elektrolytter,B05BB01,natriumklorid baxter
elektrolytter,B05BB01,ringer-lactat
elektrolytter,B05BB01,natriumklorid fresenius kabi
elektrolytter med karbohydrater,B05BB02,glucose-na-k baxter
elektrolytter med karbohydrater,B05BB02,kalium-natrium-glucose braun
elektrolytter med karbohydrater,B05BB02,glukosel
elektrolytter med karbohydrater,B05BB02,karbolytt
elektrolytter med karbohydrater,B05BB02,natriumklorid-glucos baxter viaflo
elektrolytter med karbohydrater,B05BB02,plasmalyte glucos
elektrolytter med karbohydrater,B05BB02,benelyte
trometamol,B05BB03,tribonat
mannitol,B05BC01,mannitol baxter viaflo
mannitol,B05BC01,mannitol
natriumsitrat,B05CB02,sitratmikstur fenstad sa
isotone løsninger,B05DA,extraneal
hypertone løsninger,B05DB,"balance 4,25% glukose + 1,25 mmol ca/l"
hypertone løsninger,B05DB,"nutrineal pd4 med aminosyrer 1,1%"
hypertone løsninger,B05DB,"balance 2,3% glukose + 1,25 mmol ca/l"
hypertone løsninger,B05DB,"bicavera 2,3 % glukose, 1,25 mmol/l kalsium"
hypertone løsninger,B05DB,"balance 1,5% glukose + 1,25 mmol ca/l"
hypertone løsninger,B05DB,"balance 1,5% glukose + 1,75 mmol ca/l"
hypertone løsninger,B05DB,"physioneal 40 glucose 38,6 mg/ml"
hypertone løsninger,B05DB,"physioneal 40 glucose 13,6 mg/ml"
hypertone løsninger,B05DB,"physioneal 35 glucose 13,6 mg/ml"
hypertone løsninger,B05DB,"physioneal 40 glucose 22,7 mg/ml clear-flex"
hypertone løsninger,B05DB,"bicavera 4,25 % glukose, 1,25 mmol/l kalsium"
hypertone løsninger,B05DB,"physioneal 40 glucose 38,6 mg/ml clear-flex"
hypertone løsninger,B05DB,"bicavera 1,5 % glukose, 1,25 mmol/l kalsium"
hypertone løsninger,B05DB,"bicavera 1,5% glukose 1,75 mmol ca/l"
hypertone løsninger,B05DB,"physioneal 35 glucose 13,6 mg/ml clear-flex"
hypertone løsninger,B05DB,"bicavera 4,25% glukose 1,75 mmol ca/l"
hypertone løsninger,B05DB,"bicavera 2,3% glukose 1,75 mmol ca/l"
hypertone løsninger,B05DB,"physioneal 40 glucose 13,6 mg/ml clear-flex"
hypertone løsninger,B05DB,"balance 4,25% glukose + 1,75 mmol ca/l"
hypertone løsninger,B05DB,"balance 2,3% glukose + 1,75 mmol ca/l"
hypertone løsninger,B05DB,"physioneal 40 glucose 22,7 mg/ml"
hypertone løsninger,B05DB,"physioneal 35 glucose 22,7 mg/ml clear-flex"
hypertone løsninger,B05DB,"physioneal 35 glucose 22,7 mg/ml"
kaliumklorid,B05XA01,kaliumklorid b. braun
natriumhydrogenkarbonat,B05XA02,natriumhydrogenkarbonat braun
natriumklorid,B05XA03,addex-natriumklorid
natriumklorid,B05XA03,natriumklorid b. braun
natriumklorid,B05XA03,addex-natriumklorid
magnesiumsulfat,B05XA05,magnesiumsulfat b. braun
magnesiumsulfat,B05XA05,magnesiumsulfat sa
magnesiumsulfat,B05XA05,addex-magnesium
"kaliumfosfat, inkl. kombinasjoner med andre kalium-salter",B05XA06,potassio fosfato bioindustria
"kaliumfosfat, inkl. kombinasjoner med andre kalium-salter",B05XA06,fosfato monopotassico braun 2care4
"kaliumfosfat, inkl. kombinasjoner med andre kalium-salter",B05XA06,potassio fosfato galenica senese
kalsiumklorid,B05XA07,calrecia
kalsiumklorid,B05XA07,calciumklorid sa
kalsiumklorid,B05XA07,calciumchlorid
natriumglyserofosfat,B05XA14,glycophos
kardioplegiløsninger,B05XA16,cardioplegivæske naf
kardioplegiløsninger,B05XA16,cardioplegia infusion martindale
elektrolytter i kombinasjoner med andre midler,B05XA31,peditrace
elektrolytter i kombinasjoner med andre midler,B05XA31,addaven
elektrolytter i kombinasjoner med andre midler,B05XA31,nutryelt
argininhydroklorid,B05XB01,arginin naf
argininhydroklorid,B05XB01,amargine
argininhydroklorid,B05XB01,l-arginine
alanylglutamin,B05XB02,dipeptiven
vitaminer,B05XC,vitalipid adult
vitaminer,B05XC,viant
vitaminer,B05XC,cernevit
vitaminer,B05XC,soluvit
vitaminer,B05XC,vitalipid infant
trometamol,B05XX02,addex-tham
trometamol,B05XX02,trometamol sa
hemofiltrasjonsvæsker,B05ZB,multibic 4 mmol/l kalium
hemofiltrasjonsvæsker,B05ZB,multibic 2 mmol/l kalium
hemofiltrasjonsvæsker,B05ZB,prismasol 4 mmol/l kalium
hemofiltrasjonsvæsker,B05ZB,"phoxilium 1,2 mmol/l fosfat"
hemofiltrasjonsvæsker,B05ZB,multibic kaliumfri
hemofiltrasjonsvæsker,B05ZB,regiocit
hemofiltrasjonsvæsker,B05ZB,biphozyl
hemofiltrasjonsvæsker,B05ZB,hemosol b0
andre hematologiske midler,B06A,sitrat-glukose sa
hyaluronidase,B06AA03,hylase
hyaluronidase,B06AA03,hyaluronidase wockhardt
hyaluronidase,B06AA03,hylase dessau
hemin,B06AB01,normosang
"c1-hemmer, plasmaderivert",B06AC01,berinert
"c1-hemmer, plasmaderivert",B06AC01,cinryze
ikatibant,B06AC02,icatibant glenmark
ikatibant,B06AC02,icatibant newbury
ikatibant,B06AC02,firazyr
ikatibant,B06AC02,icatibant teva
konestat alfa,B06AC04,ruconest
lanadelumab,B06AC05,takhzyro
berotralstat,B06AC06,orladeyo
krizanlizumab,B06AX01,adakveo
hjerte og kretsløp,C,cardiodoron weleda
hjerte og kretsløp,C,aurum d10 3t/stibium d8 2t weleda
hjerte og kretsløp,C,weleda hämorrhoidalzäpfchen
hjerte og kretsløp,C,cardiodoron rh weleda
digitoksin,C01AA04,digimerck
digitoksin,C01AA04,digimerck pico
digoksin,C01AA05,digoxin dak
digoksin,C01AA05,lanoxin pg
digoksin,C01AA05,lanoxin
digoksin,C01AA05,digoxin orifarm
digoksin,C01AA05,digoxin dak
digoksin,C01AA05,digoxine nativelle
kinidin,C01BA01,quinidine sulfate sandoz
kinidin,C01BA01,quinidine sulfate epic
disopyramid,C01BA03,rythmodan lp
lidokain,C01BB01,lidocaine hydrochloride
lidokain,C01BB01,xylocard
meksiletin,C01BB02,mexiletine teva
meksiletin,C01BB02,namuscla
propafenon,C01BC03,rytmonorm
flekainid,C01BC04,tambocor
flekainid,C01BC04,flekainid sa
flekainid,C01BC04,tambocor retard
flekainid,C01BC04,flecainid sandoz
amiodaron,C01BD01,cordarone
amiodaron,C01BD01,cordarone iv
amiodaron,C01BD01,amiodaron hameln
amiodaron,C01BD01,amiodaron hcl hikma
amiodaron,C01BD01,amiodarone aurum
ibutilid,C01BD05,corvert
dronedaron,C01BD07,multaq
dronedaron,C01BD07,dronedarone teva
dronedaron,C01BD07,dronedaron aristo
dronedaron,C01BD07,dronedaron sandoz
vernakalant,C01BG11,brinavess
etilefrin,C01CA01,effortil
isoprenalin,C01CA02,isoprenalina cloridrato monico
isoprenalin,C01CA02,isoprenaline hydrochloride macure
isoprenalin,C01CA02,isoprenalina hcl s.a.l.f.
noradrenalin,C01CA03,noradrenalin sintetica
noradrenalin,C01CA03,arterenol
noradrenalin,C01CA03,noradrenalin aguettant
noradrenalin,C01CA03,noradrenalin abcur
dopamin,C01CA04,dopamin
fenylefrin,C01CA06,fenylefrin aguettant
fenylefrin,C01CA06,fenylefrin abcur
fenylefrin,C01CA06,fenylefrin unimedic
dobutamin,C01CA07,dobutamin hameln
midodrin,C01CA17,hypotron
midodrin,C01CA17,gutron
adrenalin,C01CA24,adrenalin ethypharm
adrenalin,C01CA24,adrenalin aguettant
adrenalin,C01CA24,adrenaline mercury
adrenalin,C01CA24,emerade
