,ICD_code,diagnosis
610,B484,Penicilliose
611,B485,Pneumocystose
612,B487,Opportunistisk soppsykdom
613,B488,Annen spesifisert soppsykdom
614,B49,Uspesifisert soppsykdom
615,B500,"Malaria som skyldes Plasmodium falciparum, med hjernekomplikasjoner"
616,B508,Annen spesifisert alvorlig eller komplisert malaria som skyldes Plasmodium falciparum
617,B509,Uspesifisert malaria som skyldes Plasmodium falciparum
618,B510,"Malaria som skyldes Plasmodium vivax, med miltruptur"
619,B518,"Malaria som skyldes Plasmodium vivax, med annen komplikasjon"
620,B519,"Malaria som skyldes Plasmodium vivax, uten komplikasjoner"
621,B520,"Malaria som skyldes Plasmodium malariae, med nefropati"
622,B528,"Malaria som skyldes Plasmodium malariae, med annen komplikasjon"
623,B529,"Malaria som skyldes Plasmodium malariae, uten komplikasjoner"
624,B530,Malaria som skyldes Plasmodium ovale
625,B531,Apeplasmodiamalaria
626,B538,"Annen spesifisert parasittologisk bekreftet malaria, ikke klassifisert annet sted"
627,B54,Uspesifisert malaria
628,B550,Visceral leishmaniasis
629,B551,Kutan leishmaniasis
630,B552,Mukokutan leishmaniasis
631,B559,Uspesifisert leishmaniasis
632,B560,Trypanosomiasis gambiensis
633,B561,Trypanosomiasis rhodesiensis
634,B569,Uspesifisert afrikansk trypanosomiasis
635,B570,Akutt Chagas sykdom med hjerteaffeksjon
636,B571,Akutt Chagas sykdom uten hjerteaffeksjon
637,B572,Kronisk eller uspesifisert Chagas sykdom med hjerteaffeksjon
638,B573,Kronisk eller uspesifisert Chagas sykdom med affeksjon av fordøyelsessystemet
639,B574,Kronisk eller uspesifisert Chagas sykdom med affeksjon av nervesystemet
640,B575,Kronisk eller uspesifisert Chagas sykdom med affeksjon av annet organ
641,B580,Toksoplasmaokulopati
642,B581,Toksoplasmahepatitt
643,B582,Toksoplasmameningoencefalitt
644,B583,Pulmonal toksoplasmose
645,B588,Toksoplasmose med annen spesifisert organaffeksjon
646,B589,Uspesifisert toksoplasmose
647,B600,Babesiose
648,B601,Akantamøbeinfeksjon
649,B602,Naegleriainfeksjon
650,B608,Annen spesifisert protozosykdom
651,B64,Uspesifisert protozosykdom
652,B650,Schistosomiasis som skyldes Schistosoma haematobium
653,B651,Schistosomiasis som skyldes Schistosoma mansoni
654,B652,Schistosomiasis som skyldes Schistosoma japonicum
655,B653,Cerkariedermatitt
656,B658,Annen spesifisert schistosomiasis
657,B659,Uspesifisert schistosomiasis
658,B660,Opisthorchiasis
659,B661,Clonorchiasis
660,B662,Dicrocoeliasis
661,B663,Fascioliasis
662,B664,Paragonimiasis
663,B665,Fasciolopsiasis
664,B668,Annen spesifisert ikteinfeksjon
665,B669,Uspesifisert ikteinfeksjon
666,B670,"Infeksjon i lever, som skyldes Echinococcus granulosus"
667,B671,"Infeksjon i lunge, som skyldes Echinococcus granulosus"
668,B672,"Infeksjon i ben, som skyldes Echinococcus granulosus"
669,B673,"Infeksjon med annen eller multippel lokalisasjon, som skyldes Echinococcus granulosus"
670,B674,Uspesifisert infeksjon som skyldes Echinococcus granulosus
671,B675,"Infeksjon i lever, som skyldes Echinococcus multilocularis"
672,B676,"Infeksjon med annen eller multippel lokalisasjon, som skyldes Echinococcus multilocularis"
673,B677,Uspesifisert infeksjon som skyldes Echinococcus multilocularis
674,B678,Uspesifisert ekinokokkose i lever
675,B679,Annen eller uspesifisert ekinokokkose
676,B680,Taeniasis som skyldes Taenia solium
677,B681,Taeniasis som skyldes Taenia saginata
678,B689,Uspesifisert taeniasis
679,B690,Cysticerkose i sentralnervesystemet
680,B691,Cysticerkose i øye
681,B698,Cysticerkose med annen spesifisert lokalisasjon
682,B699,Uspesifisert cysticerkose
683,B700,Diphyllobothriasis
684,B701,Sparganose
685,B710,Hymenolepiasis
686,B711,Dipylidiasis
687,B718,Annen spesifisert bendelorminfeksjon
688,B719,Uspesifisert bendelorminfeksjon
689,B72,Dracunculiasis
690,B73,Onkocerkiasis
691,B740,Filariasis som skyldes Wuchereria bancrofti
692,B741,Filariasis som skyldes Brugia malayi
693,B742,Filariasis som skyldes Brugia timori
694,B743,Loiasis
695,B744,Mansonelliasis
696,B748,Annen spesifisert filariasis
697,B749,Uspesifisert filariasis
698,B75,Trikinose
699,B760,Ankylostomiasis
700,B761,Necatoriasis
701,B768,Annen spesifisert hakeormsykdom
702,B769,Uspesifisert hakeormsykdom
703,B770,Askariasis med tarmkomplikasjon
704,B778,Askariasis med annen spesifisert komplikasjon
705,B779,Uspesifisert askariasis
706,B780,Strongyloidiasis i tarmkanalen
707,B781,Kutan strongyloidiasis
708,B787,Disseminert strongyloidiasis
709,B789,Uspesifisert strongyloidiasis
710,B79,Trikuriasis
711,B80,Barneorminfeksjon
712,B810,Anisakiasis
713,B811,Capillariasis i tarmkanalen
714,B812,Trichostrongyliasis
715,B813,Angiostrongyliasis i tarmkanalen
716,B814,Blandet ormesykdom i tarm
717,B818,Annen spesifisert ormesykdom i tarm
718,B820,Uspesifisert ormesykdom i tarm
719,B829,Uspesifisert parasittisme i tarm
720,B830,Visceral larva migrans
721,B831,Gnathostomiasis
722,B832,Angiostrongyliasis som skyldes Parastrongylus cantonensis
723,B833,Syngamiasis
724,B834,Innvendig hirudiniasis
725,B838,Annen spesifisert ormesykdom
726,B839,Uspesifisert ormesykdom
727,B850,Pedikulose som skyldes Pediculus humanus capitis
728,B851,Pedikulose som skyldes Pediculus humanus corporis
729,B852,Uspesifisert pedikulose
730,B853,Ftiriasis
731,B854,Blandet pedikulose og ftiriasis
732,B86,Skabb
733,B870,Kutan myiasis
734,B871,Myiasis i sår
735,B872,Okulær myiasis
736,B873,Nasofaryngeal myiasis
737,B874,Myiasis i øre
738,B878,Myiasis med annen spesifisert lokalisasjon
739,B879,Uspesifisert myiasis
740,B880,Annen middsykdom
741,B881,Tungiasis
742,B882,Annen artropodeinfestasjon
743,B883,Utvendig hirudiniasis
744,B888,Annen spesifisert infestasjon
745,B889,Uspesifisert infestasjon
746,B89,Uspesifisert parasittsykdom
747,B900,Følgetilstand etter tuberkulose i sentralnervesystemet
748,B901,Følgetilstand etter tuberkulose i kjønnsorganer eller urinveier
749,B902,Følgetilstand etter tuberkulose i ben eller ledd
750,B908,Følgetilstand etter tuberkulose i annet spesifisert organ
751,B909,Følgetilstand etter tuberkulose i åndedrettsorgan eller uspesifisert tuberkulose
752,B91,Følgetilstand etter poliomyelitt
753,B92,Følgetilstand etter lepra
754,B940,Følgetilstand etter trakom
755,B941,Følgetilstand etter virusencefalitt
756,B942,Følgetilstand etter virushepatitt
757,B948,Følgetilstand etter annen spesifisert infeksjonssykdom eller parasittsykdom
758,B949,Følgetilstand etter uspesifisert infeksjonssykdom eller parasittsykdom
759,B950,"Streptokokk serogruppe A, som årsak til sykdom klassifisert i annet kapittel"
760,B951,"Streptokokk serogruppe B, som årsak til sykdom klassifisert i annet kapittel"
761,B952,"Streptokokk serogruppe D eller enterokokk, som årsak til sykdommer klassifisert i andre kapitler"
762,B953,Streptococcus pneumoniae som årsak til sykdom klassifisert i annet kapittel
763,B954,Annen spesifisert streptokokk som årsak til sykdom klassifisert i annet kapittel
764,B955,Uspesifisert streptokokk som årsak til sykdom klassifisert i annet kapittel
765,B956,Staphylococcus aureus som årsak til sykdom klassifisert i annet kapittel
766,B957,Annen spesifisert stafylokokk som årsak til sykdom klassifisert i annet kapittel
767,B958,Uspesifisert stafylokokk som årsak til sykdom klassifisert i annet kapittel
768,B960,Mycoplasma pneumoniae som årsak til sykdom klassifisert i annet kapittel
769,B961,Klebisella pneumoniae som årsak til sykdom klassifisert i annet kapittel
770,B962,Escherichia coli som årsak til sykdom klassifisert i annet kapittel
771,B963,Haemophilus influenzae som årsak til sykdom klassifisert i annet kapittel
772,B964,Mikroorganisme fra Proteusgruppen som årsak til sykdom klassifisert i annet kapittel
773,B965,"Pseudomonas aeruginosa, mallei eller pseudomallei som årsak til sykdom klassifisert i annet kapittel"
774,B966,Bacillus fragilis som årsak til sykdom klassifisert i annet kapittel
775,B967,Clostridium perfringens som årsak til sykdom klassifisert i annet kapittel
776,B968,Annen spesifisert bakterie som årsak til sykdom klassifisert i annet kapittel
777,B970,Adenovirus som årsak til sykdom klassifisert i annet kapittel
778,B971,Enterovirus som årsak til sykdom klassifisert i annet kapittel
779,B972,Coronavirus som årsak til sykdom klassifisert i annet kapittel
780,B973,Retrovirus som årsak til sykdom klassifisert i annet kapittel
781,B974,Respiratorisk syncytialt virus som årsak til sykdom klassifisert i annet kapittel
782,B975,Reovirus som årsak til sykdom klassifisert i annet kapittel
783,B976,Parvovirus som årsak til sykdom klassifisert i annet kapittel
784,B977,Papillomavirus som årsak til sykdom klassifisert i annet kapittel
785,B978,Annet spesifisert virus som årsak til sykdom klassifisert i annet kapittel
786,B980,Helicobacter pylori som årsak til sykdom klassifisert i annet kapittel
787,B981,Vibrio vulnificus som årsak til sykdom klassifisert i annet kapittel
788,B99,Annen eller uspesifisert infeksjonssykdom
789,C000,Ondartet svulst på utside av overleppe
790,C001,Ondartet svulst på utside av underleppe
791,C002,"Ondartet svulst på utside av leppe, uspesifisert"
792,C003,Ondartet svulst på innside av overleppe
793,C004,Ondartet svulst på innside av underleppe
794,C005,"Ondartet svulst på innside av leppe, uspesifisert"
795,C006,Ondartet svulst i munnvik
796,C008,Overlappende ondartet svulst i leppe
797,C009,Ondartet svulst på uspesifisert del av leppe
798,C01,Ondartet svulst i tungerot
799,C020,Ondartet svulst på fremre to tredjedeler av overside av tunge
800,C021,Ondartet svulst på tungerand
801,C022,Ondartet svulst på fremre to tredjedeler av underside av tunge
802,C023,Ondartet svulst i uspesifisert del av fremre to tredjedeler av tunge
803,C024,Ondartet svulst i tungemandel
804,C028,Overlappende ondartet svulst i tunge
805,C029,Ondartet svulst på uspesifisert del av tunge
806,C030,Ondartet svulst i tannkjøtt i overkjeve
807,C031,Ondartet svulst i tannkjøtt i underkjeve
808,C039,Ondartet svulst med uspesifisert lokalisasjon i tannkjøtt
809,C040,Ondartet svulst i fremre del av munngulv
810,C041,Ondartet svulst i laterale del av munngulv
811,C048,Overlappende ondartet svulst i munngulv
812,C049,Ondartet svulst i uspesifisert del av munngulv
813,C050,Ondartet svulst i hard gane
814,C051,Ondartet svulst i bløt gane
815,C052,Ondartet svulst i drøvel
816,C058,Overlappende ondartet svulst i gane
817,C059,Ondartet svulst med uspesifisert lokalisasjon i gane
818,C060,Ondartet svulst i kinnslimhinne
819,C061,Ondartet svulst i vestibulum oris
820,C062,Ondartet svulst i retromolært område
821,C068,Overlappende ondartet svulst i annen eller uspesifisert del av munn
822,C069,Ondartet svulst i uspesifisert del av munn
823,C07,Ondartet svulst i ørespyttkjertel
824,C080,Ondartet svulst i submandibularspyttkjertel
825,C081,Ondartet svulst i sublingvalspyttkjertel
826,C088,Overlappende ondartet svulst i stor spyttkjertel
827,C089,Ondartet svulst i uspesifisert stor spyttkjertel
828,C090,Ondartet svulst i tonsilleseng
829,C091,Ondartet svulst i ganebue
830,C098,Overlappende ondartet svulst i tonsille
831,C099,Ondartet svulst med uspesifisert lokalisasjon i tonsille
832,C100,Ondartet svulst i vallecula epiglottica
833,C101,Ondartet svulst på fremre overflate av strupelokk
834,C102,Ondartet svulst på sidevegg i oropharynx
835,C103,Ondartet svulst på bakvegg i oropharynx
836,C104,Ondartet svulst i gjellebuespalte
837,C108,Overlappende ondartet svulst i oropharynx
838,C109,Ondartet svulst i uspesifisert del av oropharynx.
839,C110,Ondartet svulst på øvre vegg i nasopharynx
840,C111,Ondartet svulst på bakre vegg i nasopharynx
841,C112,Ondartet svulst på sidevegg i nasopharynx
842,C113,Ondartet svulst på fremre vegg i nasopharynx
843,C118,Overlappende ondartet svulst i nasopharynx
844,C119,Ondartet svulst i uspesifisert del av nasopharynx
845,C12,Ondartet svulst i sinus piriformis
846,C130,Ondartet svulst i postkrikoidalt område
847,C131,Ondartet svulst på hypofaryngeal side av plica aryepiglottica
848,C132,Ondartet svulst på bakre vegg i hypopharynx
849,C138,Overlappende ondartet svulst i hypopharynx
850,C139,"Ondartet svulst i uspesifisert del av hypopharynx,"
851,C140,Ondartet svulst i uspesifisert del av svelg
852,C142,Ondartet svulst i Waldeyers ring
853,C148,"Overlappende ondartet svulst i leppe, munnhule eller svelg"
854,C153,Ondartet svulst i øvre tredjedel av spiserør
855,C154,Ondartet svulst i midtre tredjedel av spiserør
856,C155,Ondartet svulst i nedre tredjedel av spiserør
857,C158,Overlappende ondartet svulst i spiserør
858,C159,Ondartet svulst i uspesifisert del av spiserør
859,C160,Ondartet svulst i cardia ventriculi
860,C161,Ondartet svulst i fundus ventriculi
861,C162,Ondartet svulst i corpus ventriculi
862,C163,Ondartet svulst i antrum pyloricum
863,C164,Ondartet svulst i pylorus
864,C165,Ondartet svulst i uspesifisert del av ventrikkelens curvatura minor
865,C166,Ondartet svulst i uspesifisert del av ventrikkelens curvatura major
866,C168,Overlappende ondartet svulst i magesekk
867,C169,Ondartet svulst i uspesifisert del av magesekk
868,C170,Ondartet svulst i tolvfingertarm
869,C171,Ondartet svulst i jejunum
870,C172,Ondartet svulst i ileum
871,C173,Ondartet svulst i Meckels divertikkel
872,C178,Overlappende ondartet svulst i tynntarm
873,C179,Ondartet svulst i uspesifisert del av tynntarm
874,C180,Ondartet svulst i blindtarm (coecum)
875,C181,Ondartet svulst i blindtarmsvedheng
876,C182,Ondartet svulst i colon ascendens
877,C183,Ondartet svulst i colons leverfleksur
878,C184,Ondartet svulst i colon transversum
879,C185,Ondartet svulst i colons miltfleksur
880,C186,Ondartet svulst i colon descendens
881,C187,Ondartet svulst i sigmoideum
882,C188,Overlappende ondartet svulst i tykktarm
883,C189,Ondartet svulst i uspesifisert del av tykktarm
884,C19,Ondartet svulst i overgang mellom sigmoideum og rektum
885,C20,Ondartet svulst i rektum
886,C210,Ondartet svulst i uspesifisert del av endetarmsåpning
887,C211,Ondartet svulst i analkanal
888,C212,Ondartet svulst i kloakkogen sone
889,C218,"Overlappende ondartet svulst i rektum, anus eller analkanal"
890,C220,Levercellekarsinom
891,C221,Karsinom i intrahepatisk gallegang
892,C222,Hepatoblastom
893,C223,Angiosarkom i lever
894,C224,Annet sarkom i lever
895,C227,Annet karsinom i lever
896,C229,Ondartet svulst av uspesifisert type i lever
897,C23,Ondartet svulst i galleblære
898,C240,Ondartet svulst i ekstrahepatisk gallegang
899,C241,Ondartet svulst i Vaters ampulle
900,C248,Overlappende ondartet svulst i galleveier
901,C249,Ondartet svulst i uspesifisert del av galleveier
902,C250,Ondartet svulst i bukspyttkjertelhode
903,C251,Ondartet svulst i bukspyttkjertelkropp
904,C252,Ondartet svulst i bukspyttkjertelhale
905,C253,Ondartet svulst i bukspyttkjertels utførselsgang
906,C254,Ondartet svulst i endokrin bukspyttkjertel
907,C257,Ondartet svulst i annen spesifisert del av bukspyttkjertel
908,C258,Overlappende ondartet svulst i bukspyttkjertel
909,C259,Ondartet svulst i uspesifisert del av bukspyttkjertel
910,C260,Ondartet svulst i uspesifisert del av tarmkanal
911,C261,Ondartet svulst i milt
912,C268,Overlappende ondartet svulst i fordøyelsessystemet
913,C269,Ondartet svulst med ufullstendig angitt lokalisasjon i fordøyelsessystemet
914,C300,Ondartet svulst i nesehule
915,C301,Ondartet svulst i mellomøre eller indre øre
916,C310,Ondartet svulst i maksillarsinus
917,C311,Ondartet svulst i ethmoidalsinus
918,C312,Ondartet svulst i frontalsinus
919,C313,Ondartet svulst i sfenoidalsinus
920,C318,Overlappende ondartet svulst i bihule
921,C319,Ondartet svulst i uspesifisert bihule
922,C320,Ondartet svulst i glottis
923,C321,Ondartet svulst i supraglottiske del av strupe
924,C322,Ondartet svulst i subglottiske del av strupe
925,C323,Ondartet svulst i strupebrusk
926,C328,Overlappende ondartet svulst i strupe
927,C329,Ondartet svulst i uspesifisert del av strupe
928,C33,Ondartet svulst i luftrør
929,C340,Ondartet svulst i hovedbronkie
930,C341,Ondartet svulst i lungeoverlappens bronkie- eller lungevev
931,C342,Ondartet svulst i lungemidtlappens bronkie- eller lungevev
932,C343,Ondartet svulst i lungeunderlappens bronkie- eller lungevev
933,C348,Overlappende ondartet svulst i bronkie eller lunge
934,C349,Ondartet svulst i uspesifisert del av bronkie eller lunge
935,C37,Ondartet svulst i thymus
936,C380,Ondartet svulst i hjerte
937,C381,Ondartet svulst i fremre mediastinum
938,C382,Ondartet svulst i bakre mediastinum
939,C383,Ondartet svulst i uspesifisert del av mediastinum
940,C384,Ondartet svulst i brysthinne
941,C388,"Overlappende ondartet svulst i hjerte, mediastinum eller brysthinne"
942,C390,Ondartet svulst i uspesifisert del av øvre luftveier
943,C398,Overlappende ondartet svulst i åndedrettsorgan eller intratorakalt organ
944,C399,Ondartet svulst med ufullstendig angitt lokalisasjon i åndedrettsorgan
945,C400,Ondartet svulst i skulderblad eller lang knokkel i overekstremitet
946,C401,Ondartet svulst i kort knokkel i overekstremitet
947,C402,Ondartet svulst i lang knokkel i underekstremitet
948,C403,Ondartet svulst i kort knokkel i underekstremitet
949,C408,Overlappende ondartet svulst i knokkel eller leddbrusk i ekstremitet
950,C409,Ondartet svulst i uspesifisert del av knokkel eller leddbrusk i ekstremitet
951,C410,Ondartet svulst i knokkel i skalle eller ansikt
952,C411,Ondartet svulst i underkjeve
953,C412,Ondartet svulst i ryggsøyle
954,C413,"Ondartet svulst i ribben, brystben eller krageben"
955,C414,"Ondartet svulst i bekkenben, korsben eller haleben"
956,C418,Overlappende ondartet svulst i knokkel eller leddbrusk
957,C419,Ondartet svulst i uspesifisert del av knokkel eller leddbrusk
958,C430,Malignt melanom på leppe
959,C431,Malignt melanom på øyelokk eller øyevinkel
960,C432,Malignt melanom på øre eller i ytre øregang
961,C433,Malignt melanom i annen eller uspesifisert del av ansikt
962,C434,Malignt melanom i hodebunn eller på hals
963,C435,Malignt melanom på trunkus
964,C436,Malignt melanom på overekstremitet eller skulder
965,C437,Malignt melanom på underekstremitet eller hofte
966,C438,Overlappende malignt melanom i hud
967,C439,Malignt melanom med uspesifisert lokalisasjon i hud
968,C440,Ondartet svulst i hud på leppe
969,C441,Ondartet svulst i hud på øyelokk eller øyevinkel
970,C442,Ondartet svulst i hud på øre eller i ytre øregang
971,C443,Ondartet svulst i hud i annen eller uspesifisert del av ansikt
972,C444,Ondartet svulst i hud i hodebunn eller på hals
973,C445,Ondartet svulst i hud på trunkus
974,C446,Ondartet svulst i hud på overekstremitet eller skulder
975,C447,Ondartet svulst i hud på underekstremitet eller hofte
